code,title,domain,themes,intent,severity,source
914891319,Ability to be happy,spiritual,transformation-pressure,Listed in the source compilation for ability to be happy.,2,community
814 418 81,Ability to make better use of your time,spiritual,transformation-pressure,Listed in the source compilation for ability to make better use of your time.,2,community
11179,Accident prevention and traffic fines,protection,legal-entanglement,Listed in the source compilation for accident prevention and traffic fines.,2,community
298 388014712,Accommodation / comfort zone,spiritual,transformation-pressure,Listed in the source compilation for accommodation / comfort zone.,2,community
894 719 78 48,Achieve Goals,career,recognition-delay,Listed in the source compilation for achieve Goals.,2,community
4812567,Acute Bronchitis,health,immune-resilience,"Listed in the source compilation for acute Bronchitis. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
1895678,Acute Heart Failure,health,vitality-depletion,"Listed in the source compilation for acute Heart Failure. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
4185412,Acute Intoxication,health,vitality-depletion,"Listed in the source compilation for acute Intoxication. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
1257814,Acute Respiratory Failure,health,immune-resilience,"Listed in the source compilation for acute Respiratory Failure. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
48145488,Acute respiratory infections,health,immune-resilience,"Listed in the source compilation for acute respiratory infections. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
5217319,Adoption of appropriate and accurate solutions,spiritual,transformation-pressure,Listed in the source compilation for adoption of appropriate and accurate solutions.,2,community
53142184161,Adrenaline balance,health,vitality-depletion,"Listed in the source compilation for adrenaline balance. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
548142182,Affective Syndrome,health,vitality-depletion,"Listed in the source compilation for affective Syndrome. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
528471 228911,Aggression,spiritual,transformation-pressure,Listed in the source compilation for aggression.,2,community
148543292,Alcoholism,health,chronic-pattern-relief,"Listed in the source compilation for alcoholism. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
51843215,Allergic pneumonia,health,immune-resilience,"Listed in the source compilation for allergic pneumonia. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
5814325,"Allergic rhinitis, sinusitis",health,immune-resilience,"Listed in the source compilation for allergic rhinitis, sinusitis. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
481854383,Alzheimer,health,chronic-pattern-relief,"Listed in the source compilation for alzheimer. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
59189171 481,Anesthetic,health,vitality-depletion,"Listed in the source compilation for anesthetic. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
55514219811 0,Animal harmonization,protection,external-hostility,Listed in the source compilation for animal harmonization.,2,community
51949131948,Anxiety,health,nervous-system-strain,"Listed in the source compilation for anxiety. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
54842148,Aphthae / Candida (candidiasis),health,vitality-depletion,"Listed in the source compilation for aphthae / Candida (candidiasis). Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
8124567,Asia,spiritual,transformation-pressure,Listed in the source compilation for asia.,2,community
319819497817,"Assets, values, credits, rights that form the patrimony",money,debt-pressure,"Listed in the source compilation for assets, values, credits, rights that form the patrimony.",2,community
456 891 01 2139,Astenia,spiritual,transformation-pressure,Listed in the source compilation for astenia.,2,community
898716 068 714,"Attachment, Dependence",spiritual,transformation-pressure,"Listed in the source compilation for attachment, Dependence.",2,community
519688 01971,Attention Concentration,career,recognition-delay,Listed in the source compilation for attention Concentration.,2,community
317988 9178,"Beer, Children's Caprice",money,earning-expansion,"Listed in the source compilation for beer, Children's Caprice.",2,community
918714,Bioenergy,spiritual,transformation-pressure,Listed in the source compilation for bioenergy.,2,community
514218857,Bipolarity–Manic-depressive psychosis (MDP),health,nervous-system-strain,"Listed in the source compilation for bipolarity–Manic-depressive psychosis (MDP). Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
217 918 294 888,Blood vessel,health,vitality-depletion,"Listed in the source compilation for blood vessel. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
9187948181,Body self-healing,health,recovery-convalescence,"Listed in the source compilation for body self-healing. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
8943548,Bronchial Asthma,health,immune-resilience,"Listed in the source compilation for bronchial Asthma. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
89143215,Bronchiolitis (acute inflammation of the bronchi),health,inflammation-heat,"Listed in the source compilation for bronchiolitis (acute inflammation of the bronchi). Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
5418521,Bunions (Hallux valgus),spiritual,transformation-pressure,Listed in the source compilation for bunions (Hallux valgus).,2,community
289 471 314917,Business harmonization,money,earning-expansion,Listed in the source compilation for business harmonization.,2,community
514319893714,Calm,spiritual,transformation-pressure,Listed in the source compilation for calm.,2,community
8915678,Cardiac arrest (clinical death),health,vitality-depletion,"Listed in the source compilation for cardiac arrest (clinical death). Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
8543210,Cardiac arrhythmia,health,vitality-depletion,"Listed in the source compilation for cardiac arrhythmia. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
888918491648,Care for Planet Earth,health,vitality-depletion,"Listed in the source compilation for care for Planet Earth. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
318612518714,Cash Flow,money,earning-expansion,Listed in the source compilation for cash Flow.,2,community
12746391,Cellular Regeneration,health,recovery-convalescence,"Listed in the source compilation for cellular Regeneration. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
312 218 212 918,Cervical Column,spiritual,transformation-pressure,Listed in the source compilation for cervical Column.,2,community
5333353,Chemical Dependency Addictions / Substance Abuse,health,chronic-pattern-relief,"Listed in the source compilation for chemical Dependency Addictions / Substance Abuse. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
519 489 319 12,Childhood Fear,health,vitality-depletion,"Listed in the source compilation for childhood Fear. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
4218910,Chronic Bronchitis,health,immune-resilience,"Listed in the source compilation for chronic Bronchitis. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
51421543,Chronic pneumonia,health,immune-resilience,"Listed in the source compilation for chronic pneumonia. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
